site_id,name,lat,lon,state,source,nrhp_ref,beru_dev,tier
Q2044290,Spiro Mounds,35.311944,-94.568611,,NHL,69000153,0.02792,B
Q5002462,Butcherpen Mound,30.3662,-87.1545,,NHL,98001165,0.019217,B
Q6919109,Mound City Civil War Naval Hospital,37.085556,-89.163056,,NHL,74002285,0.047735,B
Q16896232,Orr-Herl Mound and Village Site,37.4344,-88.3275,,NHL,78001151,0.019883,B
Q5244044,DePrato Mounds,31.6265,-91.5765,,NHL,98001258,0.028183,B
Q7180861,Pharr Mounds,34.466488,-88.416715,,NHL,78000346,0.022857,B
Q22058643,Hopewell District No. 45 School,35.33666667,-91.60138889,,NHL,91001283,0.029013,B
Q1320821,Moundville Archaeological Site,33.004669,-87.631069,,NHL,66000149,0.003331,A
Q7959647,Wagon Mound National Historic Landmark,36.000278,-104.694722,,NHL,66000478,0.034543,B
Q4470180,Winterville Site,33.4858,-91.0611,,NHL,73001031,0.011003,B
Q14708451,Hopewell Baptist Church,35.6531,-97.6203,,NHL,02001018,0.029643,B
Q18154702,Mounds Cemetery,33.78,-93.8228,,NHL,13000350,0.00306,A
Q16902907,Ware Mounds and Village Site,37.4464,-89.4,,NHL,77000490,0.044367,B
Q132685805,Mound Bayou Bank,33.87835,-90.72894,,NHL,96000187,6.9e-05,A++
Q16895433,Mound Cemetery,33.6203,-91.2008,,NHL,07001426,0.01566,B
Q5016312,Caddo Mounds State Historic Site,31.5969,-95.1506,,NHL,70000742,0.04732,B
Q6939011,Murphy Mound Archeological Site,36.1528,-89.6944,,NHL,69000119,0.034553,B
Q107071600,Marksville Commercial Historic District,31.12697,-92.0665,,NHL,83000489,0.044517,B
Q16844517,Boone's Mounds,33.379584,-92.5710145,,NHL,80000774,0.038666,B
Q4220862,Kincaid Mounds State Historic Site,37.080556,-88.491667,,NHL,66000326,0.025356,B
Q16890431,Cleiman Mound and Village Site,37.7867,-89.5347,,NHL,77000487,0.039877,B
Q6125125,Jaketown Site,33.237095,-90.487026,,NHL,73001017,0.008132,A
Q1269580,Wickliffe Mounds,36.971,-89.0929,,NHL,84000789,0.045397,B
Q15195879,Backusburg Mounds,36.7025,-88.46083333,,NHL,85001506,0.024328,B
Q964745,Poverty Point,32.6425,-91.408333333,,NHL,66000382,0.022578,B
Q7496730,Shiloh Indian Mounds Site,35.141481,-88.32085,,NHL,79000279,0.019662,B
Q7074970,Obion Mounds,36.405519,-88.3824,,NHL,73001790,0.021713,B
Q6731931,Magnolia Mound Plantation House,30.426111,-91.186944,,NHL,72000549,0.015198,B
Q14710093,Mound Bottom,36.1398,-87.1014,,NHL,71000813,0.020987,B
Q5505287,Frogmore Mound Site,31.6046,-91.6711,,NHL,04000740,0.031337,B
Q6771408,Marksville Prehistoric Indian Site,31.1247,-92.0478,,NHL,66000372,0.043893,B
Q68034246,Batesville Mounds,34.3475,-89.9239,,NHL,88002702,0.026903,B
Q7338758,Riverview Mounds Archaeological Site,36.4531,-87.2972,,NHL,09000116,0.01446,B
Q5473563,Foster's Mound,31.5984,-91.3306,,NHL,82003091,0.019987,B
Q6460005,LSU Campus Mounds,30.415,-91.181389,,NHL,99000236,0.015013,B
Q61456836,Civil War Earthworks at Tallahatchie Crossing,34.556944,-89.487778,,NHL,73001021,0.041441,B
Q5004170,Bynum Mound and Village Site,33.89796,-88.9463,,NHL,89000783,0.04051,B
Q5191342,Crystal River Tourist Camp,35.943333,-91.547778,,NHL,91000620,0.027226,B
Q16962162,Dogtooth Bend Mounds and Village Site,37.06388889,-89.33472222,,NHL,78001111,0.046543,B
Q110002647,Dallas Times Herald Pasadena Perfect Home,32.81694983,-96.73764316,,NHL,06000819,0.000221,A+
Q7814641,Plum Bayou Mounds Archeological State Park,34.6469,-92.0653,,NHL,73000382,0.044477,B
Q106956813,Moundville Plantation,30.643888888,-92.072222222,,NHL,76002167,0.044707,B
Q5370466,Emerald Mound Site,31.636106,-91.247228,,NHL,88002618,0.017208,B
Q89059542,Pocahontas Mound A,32.469444444,-90.288333333,,NHL,69000365,0.014756,B
Q6773237,Marsden Mounds,32.4864,-91.4917,,NHL,04000803,0.025357,B
Q25203932,Hopewell School,30.098611111,-97.461388888,,NHL,15000334,0.024346,B
Q14693237,Hopewell Presbyterian Church,34.3936,-89.4114,,NHL,99000837,0.043987,B
Q4363053,Pinson Mounds,35.497778,-88.6825,,NHL,66000727,0.031717,B
Q4952371,Boyd Mounds Site,32.4533,-90.0675,,NHL,89000784,0.022117,B
Q4949038,Bottle Creek Indian Mounds,31.0088,-87.9406,,NHL,74000398,0.006987,A
Q16903513,Wilson Mounds and Village Site,37.9992,-88.0319,,NHL,77000491,0.01003,B
Q38252194,Indian Mound,37.895256,-101.339184,,NHL,13000491,0.046394,B
Q4530064,Angel Mounds,37.941794,-87.455458,,NHL,66000124,0.009185,A
Q6919120,Mound Key Archeological State Park,26.42222222,-81.86527778,,NHL,70000187,0.004476,A
Q4965899,Brick Church Mound and Village Site,36.2475,-86.7757,,NHL,73001759,0.031843,B
Q6476328,Lake Jackson Mounds Archaeological State Park,30.5,-84.3136,,NHL,71000241,0.013913,B
Q16900428,Spikebuck Town Mound and Village Site,35.0461,-83.8089,,NHL,82003443,0.030737,B
Q14686380,Princess Mound,30.09,-81.72,,NHL,90000311,0.000367,A+
Q4228402,Kolomoki Mounds State Park,31.468633,-84.948533,,NHL,66000280,0.007251,A
Q6727810,Madira Bickel Mound State Archeological Site,27.56527778,-82.59277778,,NHL,70000190,0.028726,B
Q5042928,Carlston Annis Shell Mound,37.291111,-86.805278,,NHL,86000632,0.030857,B
Q7354588,Rock Mound Archeological Site,25.13,-80.41,,NHL,75000562,0.044033,B
Q7896410,University of Tennessee Agriculture Farm Mound,35.9473,-83.9399,,NHL,78002603,0.02637,B
Q17511685,Brady's Cattle Mound,33.789321,-80.8245345,,NHL,96001094,0.030216,B
Q17332594,Hopewell Rosenwald School,33.6098,-82.1245,,NHL,10000340,0.013117,B
Q64617356,Annis Mound and Village Site,37.289838888,-86.752888888,,NHL,85003182,0.032604,B
Q17513341,Dead River Cattle Mound,33.7779319,-80.7659229,,NHL,96001098,0.032169,B
Q16894917,McCollum Mound,34.7608,-81.4522,,NHL,72001204,0.009293,A
Q7858231,Twin Mounds Archeological District,28.82,-81.42,,NHL,91001957,0.010367,B
Q18157936,Sewee Mound,32.9967,-79.6103,,NHL,70000571,0.02931,B
Q5767491,Hinson Mounds,26.173333,-81.259722,,NHL,78000345,0.015709,B
Q134132402,Railroad Overpass at Ocmulgee,32.84137,-83.59979,,NHL,79000699,0.037707,B
Q5191340,Crystal River Old City Hall,28.898611,-82.593333,,NHL,98000588,0.028744,B
Q4906036,Big Mound Key-Boggess Ridge Archeological District,26.808889,-82.218889,,NHL,90001764,0.016263,B
Q15214952,Downtown Hopewell Historic District,37.30638889,-77.28722222,,NHL,02000977,0.048126,B
Q4452751,Town Creek Indian Mound,35.1828,-79.9295,,NHL,66000594,0.03995,B
Q5472236,Fort Walton Mound,30.40417,-86.6075,,NHL,66000268,0.03745,B
Q8054875,Yon Mound and Village Site,30.4322,-85.0164,,NHL,78000952,0.009513,A
Q5900401,Hopewell Presbyterian Church and Cemetery,35.365278,-80.898333,,NHL,96000198,0.027756,B
Q4906035,Big Mound City,26.874722,-80.4775,,NHL,73000596,0.041783,B
Q124029799,Pinson Main Street Historic District,33.689722222,-86.685555555,,NHL,15000976,0.034848,B
Q4533107,Etowah Indian Mounds,34.128012,-84.807064,,NHL,66000272,0.002535,A
Q3485388,Crystal River Archaeological State Park,28.916944,-82.609167,,NHL,70000178,0.029272,B
Q17511072,Cooner's Cattle Mound,33.7984874,-80.7856451,,NHL,96001097,0.031512,B
Q7366204,Rookery Mound,25.4626589,-80.8769302,,NHL,96001183,0.028469,B
Q18011400,Pompano Beach Mound,26.2217,-80.0926,,NHL,14000151,0.045387,B
Q5900403,Hopewell Presbyterian Church and Hopewell Cemetery,34.128333,-79.623889,,NHL,00000589,0.029763,B
Q14710174,Sellars Indian Mound,36.17,-86.2407,,NHL,72001256,0.049677,B
Q7856427,Turtle Mound,28.9308,-80.8269,,NHL,70000193,0.030137,B
Q16894077,Lee's Mill Earthworks,37.1672,-76.5536,,NHL,03000568,0.02742,B
Q17030623,Santee Indian Mound and Fort Watson,33.539,-80.4378,,NHL,69000164,0.043107,B
Q4876480,Bear Lake Mounds Archeological District,25.174722,-80.936944,,NHL,96001182,0.026469,B
Q17985886,Big Lake Cattle Mound,33.7820985,-80.784812,,NHL,96001092,0.03154,B
Q7231529,Portavant Mound,27.531111,-82.625833,,NHL,94001475,0.029828,B
Q7170357,Persimmon Mound,28.25,-80.8,,NHL,94000357,0.031033,B
Q134890186,Etowah Depot,35.323333333,-84.524444444,,NHL,,0.006885,A
Q1153892,Rock Eagle Effigy Mound,33.4175,-83.3881,,NHL,78001001,0.044763,B
Q8052388,Yent Mound,29.9,-84.365,,NHL,73000577,0.0122,B
Q7581397,Spruce Creek Mound Complex,29.073056,-80.9975,,NHL,90001761,0.02445,B
Q5273799,Dickson Mounds,40.3506,-90.1159,,NHL,72000457,0.020503,B
Q14688435,Hubele Mounds and Village Site,38.0167,-88.0322,,NHL,78001196,0.01004,B
Q6796979,Mayberry Mound and Village Site,38.320833,-88.525,,NHL,78001195,0.026467,B
Q6919119,Mound House,39.4933,-90.5836,,NHL,78001148,0.004913,A
Q16891077,Emerald Mound and Village Site,38.6306,-89.7858,,NHL,71001026,0.031507,B
Q117711792,Heim Mound,43.093888888,-89.489166666,,NHL,04000254,0.041394,B
Q22059027,Tampico Mounds,40.41532,-90.02151,,NHL,79000838,0.02365,B
Q7263260,Pyramid Mound,38.6706,-87.5061,,NHL,75000023,0.007497,A
Q1296201,Effigy Mounds National Monument,43.0886,-91.1856,,NHL,66000109,0.015153,B
Q333661,Cahokia,38.653888888,-90.064444444,,NHL,66000899,0.022219,B
Q122871759,Cutler Mound Group,43.009156081,-88.233541183,,NHL,88002184,0.016751,B
Q27986783,Turkey River Mounds State Preserve,42.71972222,-91.04833333,,NHL,90000774,0.010578,B
Q5270735,Diamond Bluff Site-Mero Mound Group,44.633333333,-92.6,,NHL,92000590,0.0377,B
Q25004993,Old Wadena Historic District,46.42166667,-94.82972222,,NHL,73000997,0.036624,B
Q14693532,Crigler Mound Group,39.5125,-91.7506,,NHL,69000115,0.033987,B
Q85776414,Lewis Mound Group,43.008333333,-89.3,,NHL,84000809,0.0477,B
Q5472175,Fort Thompson Mounds,44.03333333,-99.37777778,,NHL,66000711,0.011774,B
Q49076426,Spirit Mound,42.874444444,-96.958888888,,NHL,74001889,0.007596,A
Q7516205,Silver Mound Archeological District,44.42666667,-90.95972222,,NHL,75000067,0.007624,A
Q5464507,Folkert Mound Group,42.428278,-93.061844,,NHL,09000126,0.022305,B
Q7524732,Sinnissippi Mounds,41.797222,-89.659722,,NHL,79000874,0.035709,B
Q102397825,Vilas Park Mound Group,43.059444444,-89.408055555,,NHL,91000357,0.044098,B
Q7429761,Scales Mound Historic District,42.481944,-90.252778,,NHL,90001199,0.015941,B
Q5454513,Fish Farm Mounds State Preserve,43.45555556,-91.27916667,,NHL,88001131,0.018272,B
Q7083573,Old Cahokia Courthouse,38.570764,-90.191711,,NHL,72001480,0.017976,B
Q6660528,Lizard Mound County Park,43.4633,-88.1392,,NHL,96000417,0.013607,B
Q7355679,Rockwell Mound,40.296944,-90.06,,NHL,87000679,0.022367,B
Q15241712,Larchmound,38.71972222,-88.08138889,,NHL,80001406,0.01168,B
Q4968660,Briscoe Mounds,41.4195,-88.220306,,NHL,78001198,0.01631,B
Q4927699,Blood Run Site,43.47,-96.58,,NHL,70000246,0.005033,A
Q7131794,Panther Intaglio Effigy Mound,42.9252,-88.8545,,NHL,70000035,0.03745,B
Q14688110,Sugarloaf Mound,38.5749,-90.231,,NHL,84002689,0.016667,B
Q20709927,Grand Mound Town Hall and Waterworks Historic District,41.82390278,-90.648675,,NHL,01000910,0.002744,A
Q16892442,Horseshoe Lake Mound and Village Site,38.7042,-90.0686,,NHL,80001396,0.02208,B
Q115868656,Indian Mounds Park Mound Group,44.945833333,-93.056666666,,NHL,14000140,0.022478,B
Q30590375,Four Mounds Estate Historic District,42.55305556,-90.6775,,NHL,01001487,0.001783,A+
Q24534593,Wadena Depot,46.44208333,-95.13805556,,NHL,88003012,0.046902,B
Q4709348,Albany Mounds State Historic Site,41.7807,-90.2293,,NHL,74000775,0.016723,B
Q6964979,Naples Mound 8,39.693583,-90.648889,,NHL,75000671,0.002737,A
Q4929481,Fort Blue Mounds,43.0175,-89.832222,,NHL,01001044,0.029959,B
Q102397626,Mills Woods Mound,43.09,-89.345277777,,NHL,91000667,0.046191,B
Q7824072,Toolesboro Mound Group,41.15,-91.05,,NHL,66000337,0.010633,B
Q4832928,Aztalan State Park,43.0656,-88.8629,,NHL,66000022,0.03773,B
Q16211865,Kamp Mound Site,39.3322,-90.6208,,NHL,78001114,0.003673,A
Q5594814,Grand Mound,48.51666667,-93.70861111,,NHL,11000565,0.000746,A+
Q7112158,Outlet Mound,43.051666666,-89.334722222,,NHL,03001022,0.046543,B
Q4877297,Beattie Park Mound Group,42.274167,-89.091111,,NHL,91000084,0.045337,B
Q98289737,Blue Mounds State Park WPA/Rustic Style Historic Resources,43.715876,-96.186224,,NHL,89001657,0.018159,B
Q14716731,Mound Cemetery Mound,39.1201,-81.9149,,NHL,74001575,0.00613,A
Q7289484,Ramey Mound,38.148889,-83.903611,,NHL,98000089,0.02758,B
Q4315010,Hopewell Culture National Historical Park,39.3758,-83.0064,,NHL,66000119,0.042513,B
Q7061637,Norwood Mound,39.1678,-84.4458,,NHL,74001520,0.009507,A
Q5185117,Criel Mound,38.368611,-81.696667,,NHL,70000655,0.001144,A+
Q5900304,Hopewell,39.53,-77.1703,,NHL,80001803,0.047977,B
Q15212072,Croton Dam Mound Group,43.4375,-85.6625,,NHL,08000846,0.03105,B
Q7838197,Tremper Mound and Works,38.8151,-83.0249,,NHL,72001041,0.04313,B
Q14716397,Cross Mound,39.5622,-82.7853,,NHL,70000489,0.035143,B
Q138569865,George W. King Mansion-Etowah,40.58521,-83.12055,,NHL,95001331,0.046318,B
Q5597781,Grave Creek Mound,39.916944444,-80.744444444,,NHL,66000751,0.032885,B
Q6117267,Jackson Mound,39.6778,-83.2653,,NHL,75001397,0.048857,B
Q34821111,Conus Mound,39.420277777,-81.451388888,,NHL,73001549,0.00932,A
Q6383928,Keiter Mound,39.5479,-83.8796,,NHL,75001346,0.02838,B
Q5240102,David Stitt Mound,39.482222,-83.098333,,NHL,72001040,0.045578,B
Q136346050,Tom Cannon Mound,39.8936,-83.218,,NHL,,0.049567,B
Q7295517,Ratcliffe Mound,39.307222,-82.728611,,NHL,75001548,0.033254,B
Q6373412,Karshner Mound,39.4515,-82.72,,NHL,74001527,0.032967,B
Q7502006,Short Woods Park Mound,39.121333,-84.695,,NHL,74001521,0.0012,A+
Q7077319,Odd Fellows' Cemetery Mound,39.12725,-84.355694,,NHL,73001474,0.01251,B
Q7313317,Rennert Mound Archeological District,39.1595,-84.808444,,NHL,75001422,0.002581,A
Q7945175,W.C. Clemmons Mound,39.6492,-83.0289,,NHL,74001594,0.043263,B
Q4792111,Arledge Mounds I and II,39.55,-82.874167,,NHL,74001591,0.038106,B
Q14716249,Norton Mound Group,42.9366,-85.722,,NHL,66000396,0.033033,B
Q5900342,Hopewell Farm,39.9669,-75.8692,,NHL,09001215,0.004607,A
Q14688430,Hopewell Presbyterian Church,39.4933,-86.1167,,NHL,00000680,0.04619,B
Q138008660,Etowah,38.883333333,-76.605,,NHL,,0.029133,B
Q5900345,Hopewell Friends Meeting House,39.256389,-78.115278,,NHL,80004190,0.020524,B
Q4887858,Benham Mound,39.193889,-84.425278,,NHL,74001508,0.010191,B
Q8038168,Wright-Patterson Air Force Base Mound,39.7868,-84.0844,,NHL,72001015,0.021553,B
Q4682185,Adena Mound,39.355928,-83.009061,,NHL,75001529,0.042602,B
Q968802,Serpent Mound,39.025858,-83.430444,,NHL,66000602,0.043352,B
Q7581431,Spruce Run Earthworks,40.1778,-82.8643,,NHL,73001431,0.037777,B
Q4941526,Bone Mound II,39.481667,-84.122222,,NHL,74001643,0.020293,B
Q5485118,Frank B. Hopewell House,42.345833,-71.182222,,NHL,90000034,0.048374,B
Q5315620,Dunns Pond Mound,40.475678,-83.862889,,NHL,74001548,0.028937,B
Q16895427,Mound House,39.8797,-81.9114,,NHL,79001908,0.006013,A
Q7352031,Roberts Mound,39.39425,-84.711111,,NHL,75001329,0.000663,A+
Q7446880,Seipsville Hotel,40.693611,-75.2625,,NHL,77001178,0.015617,B
Q26258363,Hopewell Methodist Episcopal Church and Cemetery,40.87,-85.69916667,,NHL,15000600,0.032272,B
Q5040656,Carl Potter Mound,40.039111,-83.60125,,NHL,74001407,0.037658,B
Q14716786,Piketon Mounds,39.0511,-83.0194,,NHL,74001599,0.042947,B
Q5365955,Ellis Mounds,40.2875,-83.348889,,NHL,74001638,0.04607,B
Q4998204,Burchenal Mound,39.260694,-84.473056,,NHL,75001437,0.008598,A
Q6886448,Moar Mound and Village Site,39.363611,-84.195833,,NHL,76001543,0.017839,B
Q14715555,Hopewell School,41.9197,-71.0944,,NHL,84003859,0.045447,B
Q4666953,Aberdeen Mound,38.667778,-83.763056,,NHL,74001401,0.032265,B
Q5900418,Hopewell Station,40.3914,-74.7633,,NHL,84002728,0.032257,B
Q14716791,Raleigh Mound,40.47367,-82.54294,,NHL,75001445,0.027065,B
Q6787032,Mathew Mound,39.262361,-84.442639,,NHL,75001424,0.009612,A
Q28403189,Shrum Mound,39.990013,-83.080567,,NHL,70000490,0.044986,B
Q5162576,Conrad Mound Archeological Site,39.146944,-84.772222,,NHL,75001420,0.001374,A+
Q5599606,Great Mound,39.5155,-84.47625,,NHL,71000633,0.008492,A
Q5900399,Hopewell Presbyterian Church,41.570556,-74.335556,,NHL,97001621,0.046515,B
Q6750686,Mann Mound,39.5515,-84.495,,NHL,71000632,0.007867,A
Q137273182,Seippel Bakery and Richard Apartments,43.09162,-79.05919,,NHL,100002463,0.01094,B
Q5256347,Demoret Mound,39.332778,-84.683889,,NHL,75001337,0.00157,A+
Q6705780,Luthor List Mound,39.575278,-82.924722,,NHL,74001592,0.039791,B
Q5900300,Hopewell,39.7136,-75.9022,,NHL,79001120,0.005707,A
Q1950269,Mounds State Park,40.100386,-85.620722,,NHL,73000022,0.029657,B
Q15225078,Hopewell Historic District,39.77944444,-76.01694444,,NHL,91000226,0.009531,A
Q116268128,Horseshoe Mound,38.74325,-82.977330555,,NHL,74001621,0.041544,B
Q5757834,Highbanks Metropolitan Park Mounds I and II,40.15639,-83.02402,,NHL,75001375,0.043101,B
Q7141526,Pasadena Apartments,42.336667,-83.026111,,NHL,85002944,0.04317,B
Q6477523,Lake Ridge Island Mounds,40.49078,-83.85957,,NHL,74001549,0.029048,B
Q5903943,Horn Mound,39.522222,-82.739444,,NHL,74001595,0.033615,B
Q5900313,Hopewell Associate Reformed Presbyterian Church,39.60305,-84.76039,,NHL,08000161,0.00098,A+
Q5763936,Hillside Haven Mound,39.4583,-83.9372,,NHL,78002026,0.02646,B
Q7446876,Seip House,39.3417,-82.9936,,NHL,81000450,0.042087,B
Q115110581,Williamson Mound State Memorial,39.745,-83.826944444,,NHL,71000639,0.030135,B
Q15256660,Mound Hill Archaeological Site,38.09694444,-84.13361111,,NHL,78001308,0.019913,B
Q5900297,Hopewell,39.2678,-77.7933,,NHL,94000214,0.031257,B
Q5470727,Fort Ancient,39.407783333,-84.090252777,,NHL,66000625,0.021358,B
Q8065456,Zaleski Mound Group,39.287333,-82.395,,NHL,74001641,0.022133,B
Q116268192,"Portsmouth Earthworks, Group A",38.7216,-83.02305,,NHL,80001534,0.043068,B
Q7099931,Orators Mound,39.8044,-83.8819,,NHL,74001507,0.028303,B
Q8021228,Williamson Mound Archeological District,39.366667,-84.395,,NHL,75001334,0.0112,B
Q4682178,Adena Court Apartments,39.939444,-82.008056,,NHL,80003190,0.009235,A
Q7016678,Newark Earthworks,40.042167,-82.430111,,NHL,66000614,0.023304,B
Q5876069,Hodgen's Cemetery Mound,40.1744,-80.6947,,NHL,75001443,0.034543,B
Q4732645,Alligator Effigy Mound,40.069933,-82.501031,,NHL,71000643,0.025668,B
Q7085297,Old Pasadena Historic District,34.145757,-118.15047,CALIFORNIA,NRHP,83001200,0.013982,B
Q7455137,Serpents Trail,39.031389,-108.636389,COLORADO,NRHP,94000307,0.003154,A
Q4996978,Bullock's Pasadena,34.1391,-118.133,CALIFORNIA,NRHP,96000776,0.0134,B
Q5180002,Coy Mound Site,34.549,-91.8899,ARKANSAS,NRHP,95001120,0.03863,B
Q6963605,Nanih Waiya Mound And Village,32.921389,-88.948611,MISSISSIPPI,NRHP,73001032,0.040587,B
Q23035123,Grave Creek Bridge,42.63583333,-123.3775,OREGON,NRHP,79002077,0.011783,B
Q14711426,Altadena Apartments,40.7622,-111.882,UTAH,NRHP,09001291,0.005033,A
Q117715230,Halvorson Mound Group,43.154722222,-89.391944444,WISCONSIN,NRHP,93000215,0.044635,B
